repeat,noise_sigma,sample_size,raw_grmse,round1_grmse,round2_grmse,min_epsilon_neighbors,median_epsilon_neighbors,min_delta_neighbors,median_delta_neighbors
0,0.0,102,2.3073602827481422e-05,0.005199335239425851,0.004469129880436044,2,13.5,6,24.0
0,0.01,102,0.013970083939948596,0.00783797344467073,0.007186119266270992,2,13.0,7,24.5
0,0.02,102,0.027955913484054542,0.012491089232173848,0.012101468026369485,2,13.0,7,24.0
0,0.04,102,0.05594734752305892,0.02626200979980563,0.02451777985397117,3,11.5,7,24.0
0,0.06,102,0.08388695505461848,0.04507454835344413,0.037644305817243935,3,12.5,7,24.0
0,0.08,102,0.11164948574101667,0.0789950210043282,0.07301039578435395,3,10.5,7,23.5
0,0.12,102,0.16651710039270093,0.12626947460653407,0.1165703102391148,2,10.0,7,25.0
1,0.0,102,2.4912553795438562e-05,0.004997654062205238,0.004632090391587363,2,10.0,7,22.0
1,0.01,102,0.01431437681556866,0.007780676041708956,0.007294443997379247,2,10.0,7,22.0
1,0.02,102,0.028612914579624615,0.012699814269063836,0.012325293699380709,2,10.0,7,22.0
1,0.04,102,0.05715329012267162,0.023501440770538118,0.023089295845832872,2,10.0,7,21.5
1,0.06,102,0.08555088686532535,0.04119557463054893,0.035221604324814894,2,10.0,8,22.0
1,0.08,102,0.11336923194720892,0.07469128099372631,0.06183071131855709,2,9.0,7,22.0
1,0.12,102,0.16838834417852913,0.11626309231070417,0.0944498066820154,2,10.0,6,22.0
2,0.0,102,2.5780836749879665e-05,0.005236431003474814,0.004383130469212947,3,10.0,8,17.5
2,0.01,102,0.013807802809307901,0.008070872008913625,0.007581696836735205,2,10.0,10,18.0
2,0.02,102,0.02760666116176028,0.012632210626517417,0.012398216197064743,2,10.0,10,18.0
2,0.04,102,0.05521287445531946,0.024310643037904305,0.023662982986191593,3,10.0,8,18.0
2,0.06,102,0.08287616517363079,0.042753464709632476,0.03932249809719132,3,10.0,9,18.0
2,0.08,102,0.11060336291971114,0.06226510203573466,0.05120118522203611,4,9.0,8,18.0
2,0.12,102,0.1662801150063381,0.12300243399978096,0.11298476054997514,2,8.5,7,18.0
3,0.0,102,2.2746032778689924e-05,0.00942908895884629,0.009673261273919988,1,11.0,5,23.0
3,0.01,102,0.014805324313243945,0.01040549424747446,0.01033899873682529,1,11.0,5,23.0
3,0.02,102,0.029585474744777823,0.014029900083462674,0.013766480690541153,1,10.5,4,23.5
3,0.04,102,0.05908919302794122,0.027169906981793807,0.02463478329064396,2,11.0,4,24.0
3,0.06,102,0.08861808267787831,0.051913816733664735,0.04561082664379338,2,10.5,4,23.0
3,0.08,102,0.11812879249515,0.07162039497988602,0.06408916692737826,2,12.0,4,22.0
3,0.12,102,0.17640784352945732,0.1315019133235824,0.12140585401596138,2,8.5,5,20.0
4,0.0,102,2.291557194176496e-05,0.005206825345778484,0.004260027031263962,3,9.0,9,25.5
4,0.01,102,0.015007140217978304,0.007444120462101783,0.00688682011225698,3,9.0,8,25.0
