repeat,noise_sigma,sample_size,raw_grmse,round1_grmse,round2_grmse,min_epsilon_neighbors,median_epsilon_neighbors,min_delta_neighbors,median_delta_neighbors
0,0.04,30,0.04857289984297423,0.03336684383211733,0.03177550744138693,1,4.5,1,7.0
0,0.04,50,0.05314995981350385,0.031004267876694327,0.030616460769898695,2,6.0,4,9.5
0,0.04,75,0.05239464770809831,0.022883255585411336,0.022488186844342326,2,8.0,5,16.0
0,0.04,102,0.0561262621167866,0.02266073188584128,0.021837931446628257,3,10.5,8,20.0
0,0.04,150,0.056799716064929416,0.022135970242800715,0.02134790842522462,4,14.0,12,31.5
0,0.04,250,0.05689540840031375,0.01654043764100458,0.016007200239846652,7,23.0,20,54.0
1,0.04,30,0.059348992626395,0.04649616710961756,0.046241736663292045,2,4.0,2,8.0
1,0.04,50,0.0600368687448541,0.031069639012717216,0.029385518459354106,3,5.0,4,10.0
1,0.04,75,0.05864790747885821,0.032390434332157804,0.031124119131853645,3,8.0,6,14.0
1,0.04,102,0.05559479063653162,0.02840707717556858,0.027958887410302,3,11.0,9,20.0
1,0.04,150,0.05711716599800738,0.022439565735052656,0.022139890810592363,5,15.0,14,30.0
1,0.04,250,0.056996188977472856,0.017618442869173582,0.017340925055966662,7,24.0,23,57.5
2,0.04,30,0.05256987161787459,0.03775391044403887,0.03757931580434405,2,3.5,3,6.0
2,0.04,50,0.051098631824348324,0.027581463322514946,0.027212835609831176,2,5.5,4,9.5
2,0.04,75,0.05353251688394614,0.024970420305377553,0.02461008756717595,2,7.0,6,15.0
2,0.04,102,0.0537169366967366,0.022393859540922587,0.02215332184347957,2,9.0,7,17.5
2,0.04,150,0.054282723044458026,0.020741494987092542,0.02005521986106923,6,13.0,15,24.0
2,0.04,250,0.05596285562243853,0.018662521814768906,0.018168416870118522,8,21.0,27,42.0
3,0.04,30,0.052614978751037045,0.03914897060970279,0.03863102165225414,2,4.0,4,7.0
3,0.04,50,0.055588864390835026,0.03881776818841989,0.03874665284057177,2,6.0,5,10.0
3,0.04,75,0.05381556169081626,0.031116768824125406,0.03084730409784164,2,7.0,6,16.0
3,0.04,102,0.057838047810349964,0.03103358535319658,0.030760315413363885,2,10.0,9,19.0
3,0.04,150,0.056476522172396904,0.021320692546894504,0.020904613379873004,4,14.0,14,28.0
3,0.04,250,0.05817398568380484,0.0164338401811625,0.015975025416433634,8,21.0,24,57.0
4,0.04,30,0.05509145712417027,0.04486114533387412,0.045208679568775945,1,4.0,3,5.5
4,0.04,50,0.05934850464670329,0.04165247558375596,0.03948152476237027,2,5.0,3,11.0
4,0.04,75,0.057752267133653404,0.03331461295013924,0.03080016074052846,2,9.0,6,18.0
4,0.04,102,0.0568928074145545,0.027215898321491884,0.02354000538284576,3,11.5,9,25.5
4,0.04,150,0.05930486130340691,0.020329370770098013,0.0196786616132462,3,20.0,13,39.0
4,0.04,250,0.05713664437515167,0.019380520756691662,0.017538650444545282,8,29.0,21,65.0
5,0.04,30,0.05909805330719416,0.05453992605311024,0.054448218868514225,1,5.0,3,8.0
5,0.04,50,0.05644551872209435,0.04044291546728405,0.04109130394120066,2,6.0,5,9.5
5,0.04,75,0.05701529352221295,0.03114503155771183,0.028920523328887948,3,7.0,6,16.0
5,0.04,102,0.05547527073884494,0.02357780951679608,0.020799344782141203,4,10.0,9,21.0
5,0.04,150,0.05558084941630904,0.021536506272665155,0.019611167594039997,5,13.0,13,29.0
5,0.04,250,0.056869297744237796,0.016308385480214526,0.015004507728079838,9,23.0,22,56.0
6,0.04,30,0.05258593911661811,0.05863741056598214,0.05976933234089783,1,4.0,3,7.0
