geometry,angle_bin,count_estimated,count_oracle,mean_curvature,mean_estimated_signed_error,oracle_residual_bias,oracle_residual_bias_over_sigma2,direction_contribution,sigma2_curvature
circle,0,15026,15033,1.0,-0.004420479543011824,-0.003312208919635201,-0.9200580332320003,-0.0011082706233766226,0.0036
circle,1,15112,15134,1.0,-0.00415520491058113,-0.002933382605517777,-0.8148285015327158,-0.0012218223050633526,0.0036
circle,2,15133,15110,1.0,-0.004907008585271563,-0.0038051913467991205,-1.056997596333089,-0.0011018172384724425,0.0036
circle,3,15042,15054,1.0,-0.004263071338347116,-0.0031774527367597065,-0.8826257602110296,-0.0010856186015874097,0.0036
circle,4,14931,14959,1.0,-0.003070959896748502,-0.0018831393979869444,-0.5230942772185957,-0.0011878204987615577,0.0036
circle,5,14961,15064,1.0,-0.0031772334272346533,-0.002041051971050698,-0.5669588808474162,-0.0011361814561839552,0.0036
circle,6,14863,14832,1.0,-0.0042323511214493615,-0.0030999187959815403,-0.8610885544393168,-0.0011324323254678212,0.0036
circle,7,15044,15067,1.0,-0.004790898818567361,-0.0037768773205515156,-1.0491325890420877,-0.001014021498015845,0.0036
circle,8,15198,15073,1.0,-0.004445524780824924,-0.0032279866600220244,-0.896662961117229,-0.0012175381208028996,0.0036
circle,9,14924,15013,1.0,-0.004214704865324432,-0.003011165827987359,-0.8364349522187108,-0.0012035390373370727,0.0036
circle,10,14854,14851,1.0,-0.0038504060381362405,-0.002617678762952889,-0.7271329897091358,-0.0012327272751833517,0.0036
circle,11,14949,14926,1.0,-0.004353871618971518,-0.003241947253954627,-0.9005409038762854,-0.0011119243650168907,0.0036
circle,12,14864,14962,1.0,-0.00319926693205651,-0.0019119913219411344,-0.531108700539204,-0.0012872756101153758,0.0036
circle,13,15170,15049,1.0,-0.004239162824023924,-0.0030784110046877134,-0.8551141679688093,-0.0011607518193362107,0.0036
circle,14,14934,14913,1.0,-0.00489162963050169,-0.0036638300003318724,-1.0177305556477423,-0.0012277996301698173,0.0036
circle,15,14864,14932,1.0,-0.003897277089936441,-0.0026568548052771177,-0.7380152236880883,-0.0012404222846593232,0.0036
circle,16,15016,15048,1.0,-0.003958372620022461,-0.0028222005717240964,-0.7839446032566935,-0.0011361720482983648,0.0036
circle,17,15183,15058,1.0,-0.0040082566024469786,-0.0029602192744936024,-0.8222831318037784,-0.0010480373279533762,0.0036
circle,18,14624,14723,1.0,-0.0035041322892300966,-0.002304246381016512,-0.6400684391712533,-0.0011998859082135846,0.0036
circle,19,15308,15199,1.0,-0.004146685547239221,-0.0029536027066565484,-0.8204451962934857,-0.0011930828405826723,0.0036
ellipse,0,10690,10862,1.9908824475105251,-0.008064694847538665,-0.005673566576243267,-1.5759907156231299,-0.0023911282712953978,0.00716717681103789
ellipse,1,12985,12850,1.2894375895469186,-0.004891895230927051,-0.0033195133846337576,-0.922087051287155,-0.0015723818462932936,0.004641975322368906
ellipse,2,14743,14842,0.7636162405984274,-0.00336020541505345,-0.002441650098449095,-0.678236138458082,-0.0009185553166043553,0.0027490184661543384
ellipse,3,17706,17610,0.5160073249858411,-0.0018761248693109737,-0.0012375877785093233,-0.3437743829192565,-0.0006385370908016505,0.001857626369949028
ellipse,4,18175,18316,0.4220345027259614,-0.0020631047473112923,-0.0014762353365359796,-0.41006537125999437,-0.0005868694107753127,0.001519324209813461
ellipse,5,18675,18549,0.42204867123285045,-0.0013669054998940663,-0.0008120783558111347,-0.22557732105864853,-0.0005548271440829316,0.0015193752164382615
ellipse,6,17433,17473,0.5156405137404421,-0.002752367300067222,-0.002094157608321918,-0.5817104467560884,-0.0006582096917453037,0.0018563058494655913
ellipse,7,15324,15250,0.7625799007241872,-0.003117397759798842,-0.002132147386357143,-0.5922631628769842,-0.000985250373441699,0.002745287642607074
ellipse,8,12646,12674,1.2899778192628648,-0.0061634259914201284,-0.004591640635987417,-1.275455732218727,-0.001571785355432711,0.004643920149346313
ellipse,9,11055,11167,1.9918764763530736,-0.007473016913141704,-0.0050309713610066555,-1.397492044724071,-0.002442045552135048,0.007170755314871065
ellipse,10,11072,11062,1.9936028835384072,-0.007337351178694121,-0.004974132806447157,-1.3817035573464327,-0.0023632183722469636,0.007176970380738266
ellipse,11,13188,13077,1.2873522306541667,-0.005480705788384792,-0.0038851589791215934,-1.079210827533776,-0.0015955468092631988,0.004634468030355
ellipse,12,15278,15320,0.7596986429817818,-0.0035948150059317376,-0.0026759881989709337,-0.7433300552697039,-0.0009188268069608039,0.0027349151147344143
ellipse,13,17460,17424,0.5151966229006277,-0.002803411491072132,-0.002210244165643768,-0.6139567126788245,-0.0005931673254283643,0.0018547078424422598
ellipse,14,18478,18441,0.4219416274533142,-0.0014704956559313854,-0.0009985739662618936,-0.27738165729497044,-0.0004719216896694918,0.001518989858831931
ellipse,15,18638,18737,0.42192562311084403,-0.0024270140306442774,-0.0019169918745827596,-0.5324977429396555,-0.0005100221560615178,0.0015189322431990386
ellipse,16,17440,17352,0.5150046389236723,-0.0022973367156716167,-0.0015788815109256216,-0.43857819747933935,-0.0007184552047459951,0.0018540167001252204
ellipse,17,15030,15147,0.7625441869641861,-0.003795793288985038,-0.002782400086328779,-0.7728889128691053,-0.001013393202656259,0.00274515907307107
ellipse,18,12841,12773,1.2885088984330684,-0.006166194570207035,-0.004543885658089115,-1.2621904605803098,-0.0016223089121179196,0.004638632034359046
ellipse,19,11143,11074,1.992994859221061,-0.008870837154287738,-0.006535915310251603,-1.8155320306254452,-0.0023349218440361355,0.007174781493195819
