point_index,z_x,z_y,ball_count,F_hat_x,F_hat_y,v_hat_x,v_hat_y,u_hat_x,u_hat_y,direction_signal,cylinder_count,cylinder_axial_average,cylinder_average_x,cylinder_average_y,contracted_x,contracted_y,smoothing_count,final_x,final_y,pre_smoothing_se_sampling,pre_smoothing_noise_only_se,final_se_sampling,final_noise_only_se,final_se_direction
0,0.6647922875878535,-0.6585742395784393,157,0.7066153611690824,-0.6889842182869311,0.04182307358122894,-0.030409978708491825,0.8087986512914106,-0.5880856584454303,0.05171011785745432,93,0.06667575719975738,0.7186703897334127,-0.6978529067565331,0.7186703897334127,-0.6978529067565331,32,0.7157052822843377,-0.6983299524502337,0.007028438346134399,0.006221710168382551,0.006257907683888961,0.005635213985762102,0.0015852688178180393
1,0.897346368516449,-0.478581915037272,151,0.8756861627261284,-0.46880987280094977,-0.021660205790320575,0.00977204223632222,-0.9115281717514275,0.41123763459039103,0.023762519318193145,75,0.025880764791560425,0.8730902291756801,-0.46941298173116214,0.8730902291756801,-0.46941298173116214,8,0.8724217433971637,-0.46709035627265827,0.0069196410236329695,0.006928203230275508,0.007264957689133211,0.0063277540460436685,0.0029910943558348166
2,0.8221705178845888,-0.5977348080243633,162,0.8018442349370091,-0.5974870495473316,-0.020326282947579766,0.00024775847703173426,-0.9999257215682062,0.012188164189168436,0.020327792864155543,118,0.037821938208271504,0.7842881731764015,-0.6024601019951727,0.7842881731764015,-0.6024601019951727,23,0.791941201615331,-0.6093143203269922,0.007001378398528335,0.00552344770738994,0.0063087787773802315,0.005378251448595296,0.0018202443210103972
3,-0.2349090842706384,0.8784499591745256,122,-0.2543158848617858,0.9417839173611171,-0.01940680059114741,0.06333395818659149,-0.29297450578139056,0.9561202534002455,0.06624057796219383,80,0.08424377659162768,-0.26439600384271467,0.9575245950627517,-0.26439600384271467,0.9575245950627517,25,-0.26748971924280024,0.9565358427183199,0.006351681524404342,0.006708203932499369,0.006136666199852213,0.0062187026419740065,0.0019078602660969502
4,0.38780971782982954,-0.8856690353433303,140,0.395553102356795,-0.9058671235866309,0.007743384526965491,-0.020198088243300605,0.35796761274992533,-0.9337340029270217,0.02163152266061284,78,0.02066991007246126,0.3935330754994503,-0.905611688531691,0.3935330754994503,-0.905611688531691,22,0.39161802307400806,-0.9055640606040188,0.00697930296834187,0.006793662204867573,0.0066342710599417345,0.006361883828337466,0.0023242548085321193
5,-0.614960358859879,-0.878724564194266,141,-0.5749816110853898,-0.8296396029741088,0.039978747774489176,0.049084961220157264,0.631517191139508,0.7753618750591662,0.06330587406868786,82,0.07875104977091961,-0.5628917091870851,-0.8195666356726585,-0.5628917091870851,-0.8195666356726585,19,-0.5621448040023058,-0.8197841886000453,0.006113645851072759,0.006625891564490792,0.005836062404939489,0.006068150316912704,0.0017543962188794648
6,-0.9201752774312768,0.3525344422145862,168,-0.9315069375004449,0.35234770171483704,-0.011331660069168081,-0.00018674049974914952,-0.999864240098181,-0.016477298713298387,0.01133319866310588,91,0.02350200925445833,-0.9437366635252369,0.3559438692703619,-0.9437366635252369,0.3559438692703619,16,-0.9378026359655468,0.35334263606454985,0.006963378753686698,0.00628970902033151,0.007098863414728355,0.005671350335295294,0.0024382581378682147
7,-0.060166160697270765,0.9952922999350605,141,-0.06081988887040044,0.998046324238024,-0.0006537281731296765,0.0027540243029634537,-0.23095451135907352,0.9729645490370611,0.002830549484756767,84,5.560752619969764e-05,-0.06409057413484762,0.994417906862375,-0.06409057413484762,0.994417906862375,29,-0.06250493889357987,0.9940714746948549,0.006354605788776959,0.006546536707079772,0.006618989314861647,0.005780176211042416,0.004755710113995282
8,0.609304753149436,-0.7379356957224759,163,0.6328148576474506,-0.7583244658581013,0.023510104498014606,-0.020388770135625456,0.7554767852346687,-0.6551754169468588,0.03111955914133327,89,0.04263497275259712,0.6426261285435412,-0.7645872561116492,0.6426261285435412,-0.7645872561116492,23,0.6417977153858047,-0.7604279067809084,0.006845284472890168,0.00635998728003816,0.006939715401717665,0.00547914891345821,0.0019824498847661478
9,0.9235137969741752,0.032773749439465025,139,0.980599673525622,0.032910325028611624,0.05708587655144681,0.00013657558914659945,0.9999971380835091,0.0023924516277784506,0.05708603992692588,86,0.0735235687869135,0.997034357969256,0.03411889744625123,0.997034357969256,0.03411889744625123,30,0.9982318186139517,0.03417907160599443,0.006230481924399936,0.0064699663922063045,0.005982202107277794,0.005952931090501119,0.0015372161194265733
