geometry,nominal_level,method,replicates,empirical_geometric_coverage,mean_halfwidth,max_halfwidth,mean_width_over_sigma,max_width_over_sigma,strict_inside_noise_fraction,mean_extra_radius_required
circle,0.8,full_algorithm_bootstrap,2,1.0,0.03075465578747189,0.03190020204898506,0.5125775964578648,0.531670034149751,1.0,0.0
circle,0.8,sampling_only,100,0.89,0.026728641493018776,0.044010415430278754,0.44547735821697954,0.7335069238379792,1.0,0.0002414384649758768
circle,0.8,sampling_plus_direction_additive,100,1.0,0.03624528557018139,0.7290247185476877,0.6040880928363566,12.150411975794796,0.67,0.0
circle,0.8,sampling_plus_direction_rss,100,0.95,0.02863743501852854,0.7009698425683898,0.47729058364214233,11.682830709473164,0.79,4.088993552763924e-05
circle,0.9,full_algorithm_bootstrap,2,1.0,0.03341552550438956,0.03470091579493596,0.5569254250731592,0.5783485965822661,1.0,0.0
circle,0.9,sampling_only,100,0.91,0.02781129859813519,0.04579307950533702,0.46352164330225315,0.7632179917556171,1.0,0.00014409359957596665
circle,0.9,sampling_plus_direction_additive,100,1.0,0.03771341914366585,0.7585542324792993,0.6285569857277641,12.642570541321655,0.65,0.0
circle,0.9,sampling_plus_direction_rss,100,0.98,0.02979740876815655,0.7293629795980896,0.49662347946927565,12.156049659968161,0.77,1.2102954038080426e-05
circle,0.95,full_algorithm_bootstrap,2,1.0,0.0356328409777193,0.03682183008593105,0.5938806829619884,0.6136971680988508,1.0,0.0
circle,0.95,sampling_only,100,0.95,0.028856973835377553,0.04751485057283448,0.4809495639229592,0.791914176213908,1.0,8.181861998635579e-05
circle,0.95,sampling_plus_direction_additive,100,1.0,0.03913140357798196,0.7870750645508436,0.6521900596330328,13.117917742514061,0.61,0.0
circle,0.95,sampling_plus_direction_rss,100,1.0,0.030917759634654342,0.7567862516195611,0.5152959939109057,12.613104193659353,0.73,0.0
circle,0.99,full_algorithm_bootstrap,2,1.0,0.04145622126973232,0.042004236193007784,0.6909370211622052,0.7000706032167964,1.0,0.0
circle,0.99,sampling_only,100,0.99,0.031160676996930564,0.05130804497048001,0.5193446166155093,0.8551340828413336,1.0,3.1218943416479877e-06
circle,0.99,sampling_plus_direction_additive,100,1.0,0.04225533260300284,0.8499086563518807,0.7042555433833806,14.165144272531347,0.55,0.0
circle,0.99,sampling_plus_direction_rss,100,1.0,0.03338597896440158,0.8172018340164402,0.5564329827400264,13.62003056694067,0.7,0.0
ellipse,0.8,full_algorithm_bootstrap,2,1.0,0.037504030643132236,0.038404375456173576,0.6250671773855373,0.6400729242695596,1.0,0.0
ellipse,0.8,sampling_only,100,0.89,0.02844855836610968,0.04690052530333797,0.4741426394351613,0.7816754217222995,1.0,0.00024935733540879483
ellipse,0.8,sampling_plus_direction_additive,100,1.0,0.039025439328631915,0.5612291670714016,0.6504239888105319,9.353819451190027,0.42,0.0
ellipse,0.8,sampling_plus_direction_rss,100,0.97,0.03064681766467222,0.5292190232788168,0.5107802944112038,8.820317054646946,0.64,6.689739382246728e-05
ellipse,0.9,full_algorithm_bootstrap,2,1.0,0.04220104218616766,0.04293813581769675,0.7033507031027944,0.7156355969616126,1.0,0.0
ellipse,0.9,sampling_only,100,0.94,0.0296008815716655,0.048800254736523475,0.4933480261944249,0.8133375789420579,1.0,0.00014522670698197663
ellipse,0.9,sampling_plus_direction_additive,100,1.0,0.040606184432361504,0.5839620375574351,0.6767697405393585,9.732700625957253,0.35,0.0
ellipse,0.9,sampling_plus_direction_rss,100,0.97,0.03188818247187841,0.5506553067451961,0.5314697078646402,9.177588445753269,0.59,3.1674583092894256e-05
ellipse,0.95,full_algorithm_bootstrap,2,1.0,0.04585939282762698,0.04817218779139624,0.764323213793783,0.8028697965232706,1.0,0.0
ellipse,0.95,sampling_only,100,0.95,0.030713843224671876,0.05063509239320606,0.5118973870778647,0.8439182065534343,1.0,9.167105320587339e-05
ellipse,0.95,sampling_plus_direction_additive,100,1.0,0.04213293376375244,0.6059183888586416,0.7022155627292075,10.098639814310694,0.29,0.0
ellipse,0.95,sampling_plus_direction_rss,100,0.99,0.03308714420514121,0.5713593604048177,0.5514524034190201,9.522656006746962,0.58,1.7697415216375266e-05
ellipse,0.99,full_algorithm_bootstrap,2,1.0,0.05457315510961419,0.05679154138610395,0.9095525851602364,0.9465256897683991,1.0,0.0
ellipse,0.99,sampling_only,100,0.99,0.03316578354744322,0.054677381203432976,0.5527630591240538,0.911289686723883,1.0,2.9301538979257732e-05
ellipse,0.99,sampling_plus_direction_additive,100,1.0,0.04549648024200672,0.6542899234491985,0.7582746707001122,10.904832057486642,0.2,0.0
ellipse,0.99,sampling_plus_direction_rss,100,1.0,0.03572854933469425,0.6169719867479799,0.5954758222449041,10.282866445799666,0.51,0.0
